MMSI,DFSI,record_count,max_gap_hours,impossible_jump_km,draft_change_count,going_dark_events,draft_change_events,teleportation_events
218038560,0.000000,7,0.000,0.000,0,0,0,0
265522730,0.000000,17,0.000,0.000,0,0,0,0
210028000,0.000000,182,0.000,0.000,0,0,0,0
219001125,0.000000,26,0.000,0.000,0,0,0,0
219250000,0.000000,67,0.000,0.000,0,0,0,0
220204000,0.000000,91,0.000,0.000,0,0,0,0
372182000,0.000000,32,0.000,0.000,0,0,0,0
219006835,0.000000,72,0.000,0.000,0,0,0,0
249810000,0.000000,111,0.000,0.000,0,0,0,0
636022818,0.000000,244,0.000,0.000,0,0,0,0
538008784,0.000000,65,0.000,0.000,0,0,0,0
992576501,0.000000,9,0.000,0.000,0,0,0,0
219007393,0.000000,52,0.000,0.000,0,0,0,0
244850855,0.000000,115,0.000,0.000,0,0,0,0
211341960,0.000000,18,0.000,0.000,0,0,0,0
636020231,0.000000,125,0.000,0.000,0,0,0,0
210620000,0.000000,3,0.000,0.000,0,0,0,0
219035095,0.000000,3,0.000,0.000,0,0,0,0
211477000,0.000000,58,0.000,0.000,0,0,0,0
219000193,0.000000,2,0.000,0.000,0,0,0,0
219003217,0.000000,22,0.000,0.000,0,0,0,0
992651042,0.000000,33,0.000,0.000,0,0,0,0
305287000,0.000000,22,0.000,0.000,0,0,0,0
219026443,0.000000,24,0.000,0.000,0,0,0,0
219106000,0.000000,31,0.000,0.000,0,0,0,0
219014072,0.000000,9,0.000,0.000,0,0,0,0
219016832,0.000000,224,0.000,0.000,0,0,0,0
257127140,0.000000,73,0.000,0.000,0,0,0,0
311001499,0.000000,88,0.000,0.000,0,0,0,0
210222000,0.000000,304,0.000,0.000,0,0,0,0
215903000,0.000000,58,0.000,0.000,0,0,0,0
265654230,0.000000,3,0.000,0.000,0,0,0,0
245816000,0.000000,133,0.000,0.000,0,0,0,0
220138000,0.000000,61,0.000,0.000,0,0,0,0
219002624,0.000000,37,0.000,0.000,0,0,0,0
219027308,0.000000,30,0.000,0.000,0,0,0,0
220024000,0.000000,55,0.000,0.000,0,0,0,0
218054320,0.000000,23,0.000,0.000,0,0,0,0
219006092,0.000000,49,0.000,0.000,0,0,0,0
211125170,0.000000,41,0.000,0.000,0,0,0,0
261012410,0.000000,26,0.000,0.000,0,0,0,0
265703000,0.000000,46,0.000,0.000,0,0,0,0
211115000,0.000000,28,0.000,0.000,0,0,0,0
209610000,0.000000,86,0.000,0.000,0,0,0,0
219002973,0.000000,64,0.000,0.000,0,0,0,0
249127000,0.000000,19,0.000,0.000,0,0,0,0
219021266,0.000000,49,0.000,0.000,0,0,0,0
241455000,0.000000,25,0.000,0.000,0,0,0,0
235003400,0.000000,31,0.000,0.000,0,0,0,0
228468700,0.000000,144,0.000,0.000,0,0,0,0
219787000,0.000000,71,0.000,0.000,0,0,0,0
219002602,0.000000,114,0.000,0.000,0,0,0,0
219004179,0.000000,58,0.000,0.000,0,0,0,0
538007403,0.000000,165,0.000,0.000,0,0,0,0
244850515,0.000000,165,0.000,0.000,0,0,0,0
576909000,0.000000,32,0.000,0.000,0,0,0,0
265041000,0.000000,54,0.000,0.000,0,0,0,0
211243440,0.000000,4,0.000,0.000,0,0,0,0
219001522,0.000000,64,0.000,0.000,0,0,0,0
219105000,0.000000,239,0.000,0.000,0,0,0,0
219011538,0.000000,20,0.000,0.000,0,0,0,0
219005477,0.000000,103,0.000,0.000,0,0,0,0
219032673,0.000000,38,0.000,0.000,0,0,0,0
276869000,0.000000,20,0.000,0.000,0,0,0,0
219013178,0.000000,54,0.000,0.000,0,0,0,0
266414000,0.000000,33,0.000,0.000,0,0,0,0
211727510,0.000000,238,0.000,0.000,0,0,0,0
266365000,0.000000,44,0.000,0.000,0,0,0,0
211464420,0.000000,7,0.000,0.000,0,0,0,0
265002000,0.000000,67,0.000,0.000,0,0,0,0
308803000,0.000000,230,0.000,0.000,0,0,0,0
636018560,0.000000,56,0.000,0.000,0,0,0,0
219000811,0.000000,150,0.000,0.000,0,0,0,0
211783270,0.000000,27,0.000,0.000,0,0,0,0
311001116,0.000000,213,0.000,0.000,0,0,0,0
341810000,0.000000,59,0.000,0.000,0,0,0,0
219019804,0.000000,37,0.000,0.000,0,0,0,0
219798000,0.000000,38,0.000,0.000,0,0,0,0
244090781,0.000000,35,0.000,0.000,0,0,0,0
219867000,0.000000,66,0.000,0.000,0,0,0,0
211452000,0.000000,69,0.000,0.000,0,0,0,0
245313000,0.000000,110,0.000,0.000,0,0,0,0
265546920,0.000000,2,0.000,0.000,0,0,0,0
219007457,0.000000,35,0.000,0.000,0,0,0,0
211576350,0.000000,14,0.000,0.000,0,0,0,0
211118490,0.000000,34,0.000,0.000,0,0,0,0
219027804,0.000000,34,0.000,0.000,0,0,0,0
249596000,0.000000,61,0.000,0.000,0,0,0,0
305299000,0.000000,42,0.000,0.000,0,0,0,0
219025528,0.000000,86,0.000,0.000,0,0,0,0
247311100,0.000000,34,0.000,0.000,0,0,0,0
259223000,0.000000,63,0.000,0.000,0,0,0,0
219003381,0.000000,39,0.000,0.000,0,0,0,0
219030227,0.000000,5,0.000,0.000,0,0,0,0
219030406,0.000000,72,0.000,0.000,0,0,0,0
219007835,0.000000,117,0.000,0.000,0,0,0,0
219001588,0.000000,118,0.000,0.000,0,0,0,0
211505400,0.000000,2,0.000,0.000,0,0,0,0
220349000,0.000000,32,0.000,0.000,0,0,0,0
265754460,0.000000,54,0.000,0.000,0,0,0,0
212160000,0.000000,166,0.000,0.000,0,0,0,0
205162000,0.000000,35,0.000,0.000,0,0,0,0
219002857,0.000000,80,0.000,0.000,0,0,0,0
636019884,0.000000,112,0.000,0.000,0,0,0,0
209968000,0.000000,99,0.000,0.000,0,0,0,0
249855000,0.000000,206,0.000,0.000,0,0,0,0
211265530,0.000000,72,0.000,0.000,0,0,0,0
219004128,0.000000,37,0.000,0.000,0,0,0,0
211772470,0.000000,1,0.000,0.000,0,0,0,0
211692500,0.000000,6,0.000,0.000,0,0,0,0
219012789,0.000000,14,0.000,0.000,0,0,0,0
248897000,0.000000,23,0.000,0.000,0,0,0,0
314875000,0.000000,98,0.000,0.000,0,0,0,0
211360780,0.000000,9,0.000,0.000,0,0,0,0
